"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27790",-7.01168898809524,-0.310905612244898,-30.3996056573446,7.73358192399808e-15,1.09051696144194e-10,23.869696698982
"5332",-7.43237202380952,0.372918367346939,-29.5533524485979,1.17097551080595e-14,1.09051696144194e-10,23.5140640665444
"4429",-6.39656101190476,0.60558418367347,-29.4715090731711,1.2196537101043e-14,1.09051696144194e-10,23.4789422114399
"27830",-7.40624851190476,-0.407183673469387,-29.4528106295154,1.23107494306656e-14,1.09051696144194e-10,23.4708996908902
"18830",-7.26298511904762,-0.272033163265306,-28.4644427788217,2.0317528193857e-14,1.43982195298587e-10,23.0358378009639
"9826",-6.73576339285714,0.368135204081633,-27.1470031172222,4.06941411446882e-14,2.09075016567934e-10,22.4240157648344
"18790",-7.1498630952381,-0.165933673469388,-27.119441929956,4.13040136588925e-14,2.09075016567934e-10,22.4108068972979
"16090",-7.06433482142857,-0.42420918367347,-26.6652511775035,5.2890151598377e-14,2.34257092698162e-10,22.1906196444888
"14326",-6.97036011904762,0.0125739795918372,-26.3524842519455,6.28562460957801e-14,2.47465040879086e-10,22.0361882486341
"23332",-7.03765029761905,-0.589127551020408,-26.0245277627566,7.54895250613479e-14,2.67482034149874e-10,21.8717384181224
"9786",-6.76855357142857,0.335576530612245,-25.727102424773,8.93010064227925e-14,2.87654778234437e-10,21.7203206609122
"31387",-6.53866071428572,-0.081145408163265,-25.018467567882,1.3428304647048e-13,3.96504265465711e-10,21.3505561557074
"35027",-6.95014136904762,-0.989622448979592,-24.777561190942,1.54648216943871e-13,4.05891750355655e-10,21.2218780175644
"25090",-7.30934821428571,-0.41518112244898,-24.7159088595712,1.60372661219179e-13,4.05891750355655e-10,21.1886986333817
"39487",-7.99663095238095,-1.09310459183673,-24.2351883062235,2.13559531723158e-13,4.59698238450485e-10,20.9264534606657
"38627",-5.10332142857143,0.135280612244898,-24.205340463008,2.17430082546662e-13,4.59698238450485e-10,20.909961167197
"14286",-6.94221279761905,0.0864974489795923,-24.1816644297795,2.20553440399013e-13,4.59698238450485e-10,20.896861430124
"1689",-6.95847619047619,0.692275510204082,-24.067416670913,2.36311693459619e-13,4.6517956857526e-10,20.8334288058536
"32327",-7.23109821428571,-1.31410969387755,-23.9333501320803,2.56347526648025e-13,4.78061153248393e-10,20.7585237548409
"1729",-7.29136458333333,0.829946428571429,-23.2621987084508,3.87834752318034e-13,6.87107438944245e-10,20.375759462309
"19727",-7.98098958333333,-0.694089285714286,-23.1186735589672,4.24365242580569e-13,7.16025411445586e-10,20.2921820833397
"25992",-6.91070386904762,-0.531497448979592,-22.9534236289659,4.7101689789912e-13,7.51916468685889e-10,20.1951832709461
"3531",-7.04612202380952,0.158364795918367,-22.8973051332148,4.88078310608062e-13,7.51916468685889e-10,20.1620533320343
"17897",-5.82981845238095,-0.632140306122449,-22.7524573348997,5.3523181284814e-13,7.90202867693673e-10,20.0760935906517
"17892",-7.47045386904762,-0.762515306122449,-22.6440498581826,5.73688899686203e-13,7.9650974919003e-10,20.0113335904979
"34126",-8.54670238095238,-1.57444897959184,-22.6150654622356,5.84462322663641e-13,7.9650974919003e-10,19.9939568204215
"17932",-7.13276041666667,-0.652089285714286,-22.385793429508,6.77671176988375e-13,8.89330474601077e-10,19.8555698266008
"33228",-6.78021577380952,-0.765153061224489,-22.2726279694763,7.29403573367913e-13,9.23034171969473e-10,19.7866471602182
"792",-7.69875297619048,0.392135204081632,-22.218033804127,7.55850344503199e-13,9.23518801957994e-10,19.7532496801567
"11607",-8.46165029761905,-2.17607397959184,-22.0988852819891,8.17181885389481e-13,9.65173524833516e-10,19.6800263149624
"18837",-9.53011904761905,-1.42441326530612,-21.8884116528468,9.38849378296908e-13,1.07310483939337e-09,19.5495434509454
"17935",-6.58710119047619,-1.33786734693878,-21.7421130688309,1.03470631666068e-12,1.13278970589228e-09,19.45798110792
"5292",-7.57128273809524,0.548505102040816,-21.684326360993,1.0753947961914e-12,1.13278970589228e-09,19.4216172375965
"25130",-7.26901636904762,-0.418979591836736,-21.6683024459188,1.08697682951874e-12,1.13278970589228e-09,19.4115138261147
"10730",-8.5419494047619,-1.38154846938776,-21.6076804958261,1.13201070446608e-12,1.14601529403847e-09,19.3732118777267
"15187",-8.07972767857143,-0.505272959183673,-21.5604185830919,1.16849732723065e-12,1.15009349432676e-09,19.3432645418607
"3493",-7.38274851190476,-1.70270153061224,-21.3514275285973,1.3455285783843e-12,1.28854362480786e-09,19.2099221306893
